"Comstock, Barbara (R-VA)",House,"$10,400 "
"Coffman, Mike (R-CO)",House,"$9,900 "
"Guinta, Frank (R-NH)",House,"$9,900 "
"Hardy, Cresent (R-NV)",House,"$9,900 "
"Hurd, Will (R-TX)",House,"$9,900 "
"Katko, John (R-NY)",House,"$9,900 "
"Poliquin, Bruce (R-ME)",House,"$9,900 "
"Zeldin, Lee (R-NY)",House,"$9,900 "
"Heck, Joe (R-NV)",House,"$8,900 "
"Blum, Rod (R-IA)",House,"$7,450 "
"Goodlatte, Bob (R-VA)",House,"$7,450 "
"Young, Don (R-AK)",House,"$6,950 "
"McSally, Martha (R-AZ)",House,"$6,500 "
"Culberson, John (R-TX)",House,"$5,950 "
"Garrett, Scott (R-NJ)",House,"$5,950 "
"Ryan, Paul (R-WI)",House,"$5,950 "
"Shuster, Bill (R-PA)",House,"$5,950 "
"Young, Todd (R-IN)",House,"$5,950 "
"Cole, Tom (R-OK)",House,"$5,000 "
"Boehner, John (R-OH)",House,"$4,950 "
"Boustany, Charles Jr (R-LA)",House,"$4,950 "
"Hudson, Richard (R-NC)",House,"$4,950 "
"Mullin, Markwayne (R-OK)",House,"$4,950 "
"Scalise, Steve (R-LA)",House,"$4,950 "
"Smith, Lamar (R-TX)",House,"$4,950 "
"Young, David (R-IA)",House,"$4,950 "
"Calvert, Ken (R-CA)",House,"$4,500 "
"Bishop, Rob (R-UT)",House,"$4,000 "
"Dent, Charlie (R-PA)",House,"$4,000 "
"Loudermilk, Barry (R-GA)",House,"$4,000 "
"McHenry, Patrick (R-NC)",House,"$4,000 "
"Mica, John L (R-FL)",House,"$4,000 "
"Walberg, Tim (R-MI)",House,"$4,000 "
"Yoder, Kevin (R-KS)",House,"$4,000 "
"Zinke, Ryan K (R-MT)",House,"$4,000 "
"Aderholt, Robert B (R-AL)",House,"$3,500 "
"Joyce, David P (R-OH)",House,"$3,500 "
"McCaul, Michael (R-TX)",House,"$3,500 "
"Nunes, Devin (R-CA)",House,"$3,500 "
"Olson, Pete (R-TX)",House,"$3,500 "
"Tipton, Scott (R-CO)",House,"$3,500 "
"Valadao, David (R-CA)",House,"$3,500 "
"Cook, Paul (R-CA)",House,"$3,000 "
"Duncan, Jeff (R-SC)",House,"$3,000 "
"Graves, Tom (R-GA)",House,"$3,000 "
"Hunter, Duncan D (R-CA)",House,"$3,000 "
"Jenkins, Evan (R-WV)",House,"$3,000 "
"Knight, Steve (R-CA)",House,"$3,000 "
"LaHood, Darin (R-IL)",House,"$3,000 "
"Latta, Robert E (R-OH)",House,"$3,000 "
"Love, Mia (R-UT)",House,"$3,000 "
"Newhouse, Dan (R-WA)",House,"$3,000 "
"Paulsen, Erik (R-MN)",House,"$3,000 "
"Reed, Tom (R-NY)",House,"$3,000 "
"Stewart, Chris (R-UT)",House,"$3,000 "
"Tiberi, Pat (R-OH)",House,"$3,000 "
"Black, Diane (R-TN)",House,"$2,500 "
"Blackburn, Marsha (R-TN)",House,"$2,500 "
"Carter, John (R-TX)",House,"$2,500 "
"Collins, Doug (R-GA)",House,"$2,500 "
"Curbelo, Carlos (R-FL)",House,"$2,500 "
"Davis, Rodney (R-IL)",House,"$2,500 "
"Granger, Kay (R-TX)",House,"$2,500 "
"Harris, Andy (R-MD)",House,"$2,500 "
"Johnson, Sam (R-TX)",House,"$2,500 "
"Miller, Jeff (R-FL)",House,"$2,500 "
"Ratcliffe, John Lee (R-TX)",House,"$2,500 "
"Rodgers, Cathy McMorris (R-WA)",House,"$2,500 "
"Royce, Ed (R-CA)",House,"$2,500 "
"Sessions, Pete (R-TX)",House,"$2,500 "
"Shimkus, John M (R-IL)",House,"$2,500 "
"Smith, Adrian (R-NE)",House,"$2,500 "
"Williams, Roger (R-TX)",House,"$2,500 "
"Allen, Richard W (R-GA)",House,"$2,000 "
"Babin, Brian (R-TX)",House,"$2,000 "
"Barr, Andy (R-KY)",House,"$2,000 "
"Barton, Joe (R-TX)",House,"$2,000 "
"Bilirakis, Gus (R-FL)",House,"$2,000 "
"Bishop, Mike (R-MI)",House,"$2,000 "
"Bost, Mike (R-IL)",House,"$2,000 "
"Brady, Kevin (R-TX)",House,"$2,000 "
"Brat, Dave (R-VA)",House,"$2,000 "
"Bridenstine, James (R-OK)",House,"$2,000 "
"Byrne, Bradley (R-AL)",House,"$2,000 "
"Carter, Buddy (R-GA)",House,"$2,000 "
"Chabot, Steve (R-OH)",House,"$2,000 "
"Chaffetz, Jason (R-UT)",House,"$2,000 "
"Collins, Chris (R-NY)",House,"$2,000 "
"Cramer, Kevin (R-ND)",House,"$2,000 "
"Denham, Jeff (R-CA)",House,"$2,000 "
"Desjarlais, Scott (R-TN)",House,"$2,000 "
"Diaz-Balart, Mario (R-FL)",House,"$2,000 "
"Duffy, Sean P (R-WI)",House,"$2,000 "
"Ellmers, Renee (R-NC)",House,"$2,000 "
"Emmer, Tom (R-MN)",House,"$2,000 "
"Farenthold, Blake (R-TX)",House,"$2,000 "
"Fleischmann, Chuck (R-TN)",House,"$2,000 "
"Flores, Bill (R-TX)",House,"$2,000 "
"Foxx, Virginia (R-NC)",House,"$2,000 "
"Franks, Trent (R-AZ)",House,"$2,000 "
"Gibbs, Bob (R-OH)",House,"$2,000 "
"Gosar, Paul (R-AZ)",House,"$2,000 "
"Gowdy, Trey (R-SC)",House,"$2,000 "
"Graves, Sam (R-MO)",House,"$2,000 "
"Griffith, Morgan (R-VA)",House,"$2,000 "
"Grothman, Glenn S (R-WI)",House,"$2,000 "
"Hanna, Richard (R-NY)",House,"$2,000 "
"Harper, Gregg (R-MS)",House,"$2,000 "
"Hartzler, Vicky (R-MO)",House,"$2,000 "
"Hensarling, Jeb (R-TX)",House,"$2,000 "
"Hice, Jody B (R-GA)",House,"$2,000 "
"Hill, French (R-AR)",House,"$2,000 "
"Holding, George (R-NC)",House,"$2,000 "
"Huelskamp, Tim (R-KS)",House,"$2,000 "
"Huizenga, Bill (R-MI)",House,"$2,000 "
"Hultgren, Randy (R-IL)",House,"$2,000 "
"Issa, Darrell (R-CA)",House,"$2,000 "
